Rank,Institution Name,Country,Year,Classification_SIZE,Classification_FOCUS,Research Intensity,Age,Status,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,Overall
1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT) ,United States,2018,M,CO,VH,5,B,100,100,100,99.9,100,96.1,100
2,STANFORD UNIVERSITY,United States,2018,L,FC,VH,5,B,100,100,100,99.4,99.6,72.7,98.7
3,HARVARD UNIVERSITY,United States,2018,L,FC,VH,5,B,100,100,98.3,99.9,96.5,75.2,98.4
4,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),United States,2018,S,CO,VH,5,B,99.5,85.4,100,100,93.4,89.2,97.7
5,UNIVERSITY OF CAMBRIDGE,United Kingdom,2018,L,FC,VH,5,A,100,100,100,78.3,97.4,97.7,95.6
6,UNIVERSITY OF OXFORD,United Kingdom,2018,L,FC,VH,5,A,100,100,100,76.3,98.6,98.5,95.3
7,UCL (UNIVERSITY COLLEGE LONDON),United Kingdom,2018,XL,FC,VH,5,A,99.7,99.5,99.1,74.7,96.6,100,94.6
8,IMPERIAL COLLEGE LONDON,United Kingdom,2018,L,FC,VH,5,A,99.4,100,100,68.7,100,100,93.7
9,UNIVERSITY OF CHICAGO,United States,2018,L,FC,VH,5,B,99.9,92.9,96.5,85.9,71.9,79.8,93.5
10,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),Switzerland,2018,L,CO,VH,5,A,99.6,99.4,68.2,98.7,100,98.8,93.3
11,NANYANG TECHNOLOGICAL UNIVERSITY (NTU),Singapore,2018,L,FC,VH,3,A,93.9,96.6,93.6,83.3,100,88.2,92.2
12,ECOLE POLYTECHNIQUE F?D?RALE DE LAUSANNE (EPFL),Switzerland,2018,M,FO,VH,5,A,83,95.5,92,99.2,100,100,91.2
13,PRINCETON UNIVERSITY,United States,2018,M,CO,VH,5,B,100,97.3,70.9,100,67.4,70.8,91
14,CORNELL UNIVERSITY,United States,2018,L,FC,VH,5,B,99.6,93.7,67.4,96.2,92.2,79.2,90.7
15,NATIONAL UNIVERSITY OF SINGAPORE (NUS),Singapore,2018,XL,FC,VH,5,A,100,99.9,88.8,66.2,100,86.1,90.5
16,YALE UNIVERSITY,United States,2018,L,FC,VH,5,B,100,99.8,100,63.2,90.7,61.7,90.4
17,JOHNS HOPKINS UNIVERSITY,United States,2018,L,FC,VH,5,B,94.3,66.4,100,83.9,87.9,81.3,89.8
18,COLUMBIA UNIVERSITY,United States,2018,L,FC,VH,5,B,99.9,98.1,100,62.3,34.7,94.9,88.9
19,UNIVERSITY OF PENNSYLVANIA,United States,2018,L,FC,VH,5,B,97.4,94.9,100,67.4,67.1,64.5,88.7
20,AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,2018,L,FC,VH,4,A,99.3,90.4,55.3,85.6,100,98.8,87.1
  21=,DUKE UNIVERSITY,United States,2018,L,FC,VH,5,B,94,78.1,98.1,91.4,14.2,56.6,87
  21=,UNIVERSITY OF MICHIGAN,United States,2018,XL,FC,VH,5,A,99.7,92.2,89.6,66.7,78,51.2,87
  23=,KING'S COLLEGE LONDON (KCL),United Kingdom,2018,L,FC,VH,5,A,92.8,92.4,87.6,64.8,97.4,99.2,86.9
  23=,UNIVERSITY OF EDINBURGH,United Kingdom,2018,L,FC,VH,5,A,99.1,96.6,83.2,55.5,94.9,98.6,86.9
25,TSINGHUA UNIVERSITY,China,2018,XL,FC,VH,5,A,99.2,99.6,86.7,75.3,42.1,25.6,85.6
26,UNIVERSITY OF HONG KONG (HKU),Hong Kong,2018,L,FC,VH,5,A,99.1,93.4,85.3,46.3,100,99.4,85.5
27,"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)",United States,2018,XL,FC,VH,5,A,100,99.9,36.2,99.3,97.7,54.6,84.9
  28=,NORTHWESTERN UNIVERSITY,United States,2018,L,FC,VH,5,B,91.3,76.6,98.6,75.4,57.9,55,84.8
  28=,THE UNIVERSITY OF TOKYO,Japan,2018,L,FC,VH,5,A,100,99.8,92.6,73.3,9.7,20.2,84.8
30,THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),Hong Kong,2018,M,CO,VH,3,A,93,87.2,54.9,87.7,100,93,84.3
31,UNIVERSITY OF TORONTO,Canada,2018,XL,FC,VH,5,A,99.7,95.6,74.5,50,97,92.1,84
32,MCGILL UNIVERSITY,Canada,2018,L,FC,VH,5,A,96.9,96.1,69.4,61.4,88.9,95.6,83.9
33,"UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA)",United States,2018,XL,FC,VH,4,A,100,99.4,43.7,97.5,54,50,83.6
34,THE UNIVERSITY OF MANCHESTER,United Kingdom,2018,XL,FC,VH,5,A,97.4,99.4,75.4,47.5,89.3,98.3,83
