Rank,Institution Name,Country,Year,Classification_SIZE,Classification_FOCUS,Research Intensity,Age,Status,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,Overall
35,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),United Kingdom,2018,M,SP,VH,5,A,90.3,100,55.9,71.7,100,100,81.8
  36=,KYOTO UNIVERSITY,Japan,2018,L,FC,VH,5,A,99.7,94.9,95.7,56.4,13.1,17.1,81.5
  36=,SEOUL NATIONAL UNIVERSITY (SNU),South Korea,2018,L,FC,VH,4,A,98.9,97.4,79.8,70.6,23,16,81.5
  38=,PEKING UNIVERSITY,China,2018,XL,FC,VH,5,A,99.8,99.9,66.6,61.7,52.8,48.5,80.8
  38=,"UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD)",United States,2018,XL,FC,VH,4,A,96,61.3,58.9,90.3,64.6,59.9,80.8
40,FUDAN UNIVERSITY,China,2018,L,FC,VH,5,A,91.4,97.1,76.1,63.7,79.5,45.2,80.6
  41=,KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,South Korea,2018,M,CO,VH,3,A,89.4,87.4,70.1,99.5,25.2,10,80.4
  41=,THE UNIVERSITY OF MELBOURNE,Australia,2018,XL,FC,VH,5,A,99.8,99.5,26.2,77.2,94.7,99.7,80.4
43,"ECOLE NORMALE SUP?RIEURE, PARIS (ENS PARIS)",France,2018,S,SP,VH,5,B,80.2,78.6,60.4,100,94.4,60.4,79.9
44,UNIVERSITY OF BRISTOL,United Kingdom,2018,L,FC,VH,5,A,85.7,95.5,79.2,56.4,87.9,79.2,79.5
45,THE UNIVERSITY OF NEW SOUTH WALES (UNSW),Australia,2018,XL,FC,VH,4,A,96.4,98.4,22.4,79.8,100,97.8,78.9
46,THE CHINESE UNIVERSITY OF HONG KONG (CUHK),Hong Kong,2018,L,FC,VH,4,A,94.3,83.3,66,50.7,99.8,84.9,78.8
  47=,CARNEGIE MELLON UNIVERSITY,United States,2018,L,FC,VH,5,B,85,85.1,43.2,95.6,62.3,100,78.6
  47=,THE UNIVERSITY OF QUEENSLAND (UQ),Australia,2018,XL,FC,VH,5,A,94.6,84.1,30.8,83.4,100,87.3,78.6
49,CITY UNIVERSITY OF HONG KONG,Hong Kong,2018,M,CO,VH,3,A,70.8,50.5,83.6,91.5,100,97.5,78.4
50,THE UNIVERSITY OF SYDNEY,Australia,2018,XL,FC,VH,5,A,99.3,98.3,21.4,70.3,100,98.1,78
51,UNIVERSITY OF BRITISH COLUMBIA,Canada,2018,XL,FC,VH,5,A,99.1,95.5,37.9,63.7,91.5,72.2,77.9
52,NEW YORK UNIVERSITY (NYU),United States,2018,XL,FC,VH,5,B,97.9,92.6,95.5,23.4,14.5,84.1,77.3
53,BROWN UNIVERSITY,United States,2018,M,FC,VH,5,B,72.5,56.9,80.3,92.5,80.2,60.9,76.5
54,DELFT UNIVERSITY OF TECHNOLOGY,Netherlands,2018,L,CO,VH,5,A,79.7,91,36.7,91.6,97.7,87.4,76.1
55,UNIVERSITY OF WISCONSIN-MADISON,United States,2018,XL,FC,VH,5,A,94,62.1,84,54.2,53.2,30.9,75.8
56,TOKYO INSTITUTE OF TECHNOLOGY,Japan,2018,M,CO,VH,5,A,83.1,83.7,90.1,62.4,26.5,24.4,74.8
57,THE UNIVERSITY OF WARWICK,United Kingdom,2018,L,FC,VH,4,A,83.5,98.9,51.2,54.1,98,99,74.4
58,UNIVERSITY OF AMSTERDAM,Netherlands,2018,L,FC,VH,5,A,90.1,66.1,45.2,83.5,75.4,38.9,74.3
59,ECOLE POLYTECHNIQUE,France,2018,S,CO,VH,5,A,61.2,99.9,99.3,50.8,96.4,90.8,74
60,MONASH UNIVERSITY,Australia,2018,XL,FC,VH,4,A,93.6,95.2,11.9,68.5,100,97.7,73.1
61,UNIVERSITY OF WASHINGTON,United States,2018,XL,FC,VH,5,A,92.3,56.7,28,98.8,57.2,39.4,72.9
62,SHANGHAI JIAO TONG UNIVERSITY,China,2018,XL,FC,VH,5,A,87,97.4,36.7,81.5,69.2,13.4,72.5
63,OSAKA UNIVERSITY,Japan,2018,L,FC,VH,4,A,88.5,75.4,71.9,63.1,21.5,18.9,72.1
64,TECHNISCHE UNIVERSIT?T M?NCHEN,Germany,2018,XL,CO,VH,5,A,86.3,98.7,86.4,26.6,53,44.8,72
65,UNIVERSITY OF GLASGOW,United Kingdom,2018,L,FC,VH,5,A,80.4,66.6,60.7,55.5,90.5,96.6,71.6
66,LUDWIG-MAXIMILIANS-UNIVERSIT?T M?NCHEN,Germany,2018,XL,FC,VH,5,A,95.8,88.2,38.9,55.1,54.8,38.6,70.8
67,UNIVERSITY OF TEXAS AT AUSTIN,United States,2018,XL,FC,VH,5,A,97.6,82.1,13.5,95.7,6.3,20.9,70.6
68,RUPRECHT-KARLS-UNIVERSIT?T HEIDELBERG,Germany,2018,L,FC,VH,5,A,87.6,76.5,76.6,34.8,50.5,55.2,70.4
69,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,United States,2018,XL,FC,VH,5,A,95.1,59.8,14.2,93.5,20.4,71.2,70.3
70,GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),United States,2018,L,CO,VH,5,A,79.1,79.4,31.7,99.1,11.7,72.1,70.1
  71=,KATHOLIEKE UNIVERSITEIT LEUVEN ,Belgium,2018,XL,FC,VH,5,A,88.1,78,10.4,88.9,84.8,41.6,69.4
  71=,POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH),South Korea,2018,S,FO,VH,3,B,50.9,65.6,99.5,99.8,42.4,6.2,69.4
  73=,UNIVERSITY OF COPENHAGEN,Denmark,2018,XL,FC,VH,5,A,81.7,54.2,99.9,26.9,84.9,26.5,69.2
  73=,UNIVERSITY OF ZURICH,Switzerland,2018,L,FC,VH,5,A,68.3,78.1,98.1,31.9,100,59.2,69.2
75,UNIVERSIDAD DE BUENOS AIRES,Argentina,2018,XL,FC,VH,5,A,94.5,95.5,75.1,2.6,50.3,70.6,69.1
  76=,NATIONAL TAIWAN UNIVERSITY (NTU),Taiwan,2018,XL,FC,VH,4,A,95.6,74.2,33.3,74.1,14.5,20.6,69
  76=,TOHOKU UNIVERSITY,Japan,2018,L,FC,VH,5,A,78.3,66,98.1,48.4,14.3,18.1,69
  78=,DURHAM UNIVERSITY,United Kingdom,2018,L,FC,VH,5,A,66.8,97.1,37.5,76.3,94.8,87.8,68.5
  78=,LUND UNIVERSITY,Sweden,2018,L,FC,VH,5,A,80,71.8,53.7,51.8,88.3,73.8,68.5
80,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",United States,2018,L,FC,VH,5,A,77.5,48.1,86.9,61.5,28.5,14.1,67.8
81,BOSTON UNIVERSITY,United States,2018,L,FC,VH,5,B,71.3,78.5,66.4,59.8,22.1,86.5,67.2
  82=,THE UNIVERSITY OF AUCKLAND,New Zealand,2018,L,FC,VH,5,A,92.2,77.3,19.4,48.1,85.5,89.6,67
  82=,THE UNIVERSITY OF SHEFFIELD,United Kingdom,2018,L,FC,VH,5,A,69.8,69.9,64.3,50.1,83.6,96.8,67
  84=,THE UNIVERSITY OF NOTTINGHAM,United Kingdom,2018,L,FC,VH,5,A,69.9,87.5,59.5,46.3,89.5,86.5,66.8
  84=,UNIVERSITY OF BIRMINGHAM,United Kingdom,2018,L,FC,VH,5,A,74.7,88.6,48.2,47.2,90.9,86,66.8
86,OHIO STATE UNIVERSITY,United States,2018,XL,FC,VH,5,A,75.3,60.6,77.7,40.3,79.3,44.7,66.1
87,ZHEJIANG UNIVERSITY,China,2018,XL,FC,VH,5,A,74,87.1,37.2,80.2,54.2,25.9,65.9
88,TRINITY COLLEGE DUBLIN (TCD),Ireland,2018,L,FC,VH,5,A,73.8,68.9,30.7,68.3,98.4,89.5,65.7
89,RICE UNIVERSITY,United States,2018,M,FC,VH,5,B,45.5,23.8,83.9,96.7,87.5,87.7,65.6
  90=,KOREA UNIVERSITY,South Korea,2018,L,FC,VH,5,B,76.8,88.1,82.8,32.8,17.6,36.7,65.5
  90=,UNIVERSITY OF ALBERTA,Canada,2018,XL,FC,VH,5,A,73,61.1,56.6,49.6,93,82.4,65.5
92,UNIVERSITY OF ST ANDREWS,United Kingdom,2018,M,FC,VH,5,A,53,57.1,72,69.6,98,99.9,65.3
  93=,PENNSYLVANIA STATE UNIVERSITY,United States,2018,XL,FC,VH,5,A,84.6,75.1,25,80.2,10.4,42.9,65.2
  93=,THE UNIVERSITY OF WESTERN AUSTRALIA (UWA),Australia,2018,L,FC,VH,5,A,71.6,64.1,24.7,82.3,100,72.9,65.2
  95=,LOMONOSOV MOSCOW STATE UNIVERSITY ,Russia,2018,XL,FO,VH,5,A,82,79.6,99.7,6.3,9.5,48.7,65
  95=,THE HONG KONG POLYTECHNIC UNIVERSITY,Hong Kong,2018,L,CO,VH,2,A,70.2,52.4,58,54.5,100,80.2,65
97,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,China,2018,L,CO,VH,4,A,62.9,57.9,67.6,96.7,14.4,5.2,64.9
  98=,"KTH, ROYAL INSTITUTE OF TECHNOLOGY",Sweden,2018,L,CO,VH,5,A,57.2,87,62.5,70,88.1,42,64.7
  98=,UNIVERSITY OF GENEVA,Switzerland,2018,L,FC,VH,5,A,57.7,41.4,55.1,82.1,100,98.9,64.7
100,WASHINGTON UNIVERSITY IN ST. LOUIS,United States,2018,L,FC,VH,5,B,51,24.8,99.6,78.3,57.8,62.4,64.6
101,UNIVERSITY OF LEEDS,United Kingdom,2018,L,FC,VH,5,A,74.4,86.9,47,42.3,79.4,81.3,64.5
  102=,UNIVERSITY OF HELSINKI,Finland,2018,L,CO,VH,5,A,76.4,51.4,83.4,41.5,53.6,9,63.9
  102=,UNIVERSITY OF SOUTHAMPTON,United Kingdom,2018,L,FC,VH,5,A,62.1,58.4,62.6,56,92.7,95.3,63.9
104,EINDHOVEN UNIVERSITY OF TECHNOLOGY,Netherlands,2018,M,FO,VH,4,A,39.1,54.4,93.1,83.3,98.4,43.8,63.6
105,PURDUE UNIVERSITY,United States,2018,XL,FC,VH,5,A,73.7,70.7,31.6,58,97.2,73.7,63.2
106,YONSEI UNIVERSITY,South Korea,2018,L,FC,VH,5,B,71.8,87.7,79.6,31.8,14.9,32.6,62.3
107,"KIT, KARLSRUHER INSTITUT F?R TECHNOLOGIE",Germany,2018,L,CO,VH,4,A,57.2,96.8,47,69.8,61.1,55.5,61.9
108,SUNGKYUNKWAN UNIVERSITY,South Korea,2018,L,FC,VH,5,B,62.4,96.5,85.1,37.9,17.7,27.6,61.6
  109=,LEIDEN UNIVERSITY,Netherlands,2018,L,FC,VH,5,A,77.9,42.1,33.7,70.9,69.2,33,61.5
  109=,THE UNIVERSITY OF ADELAIDE,Australia,2018,L,FC,VH,5,A,73,58.5,28.5,55.2,93.3,98.8,61.5
  109=,UTRECHT UNIVERSITY,Netherlands,2018,XL,FC,VH,5,A,74.6,43.6,41.8,75.5,57.2,17.3,61.5
112,UPPSALA UNIVERSITY,Sweden,2018,L,FC,VH,5,A,75.7,49.4,46.2,56.5,46.7,64.1,61.4
113,UNIVERSITY OF GRONINGEN,Netherlands,2018,L,FC,VH,5,A,60.9,36.3,65.3,53.6,89.7,99.1,61.3
  114=,NANJING UNIVERSITY,China,2018,XL,FC,VH,5,A,69.5,66.2,23.8,85.3,69.7,18.4,60.8
  114=,UNIVERSITI MALAYA (UM),Malaysia,2018,L,FC,VH,5,A,65.7,57.5,87.8,24.3,65.4,59.7,60.8
  116=,NAGOYA UNIVERSITY,Japan,2018,L,FC,VH,5,A,68.9,51.5,93.5,37,14.3,20.5,60.7
  116=,TECHNICAL UNIVERSITY OF DENMARK,Denmark,2018,M,FO,VH,5,A,35.4,38.5,99.8,69.3,99.2,75.7,60.7
118,"UNIVERSITY OF CALIFORNIA, DAVIS (UCD)",United States,2018,XL,FC,VH,5,A,80.7,47.1,36.1,61.6,42,33.3,60.4
119,AARHUS UNIVERSITY,Denmark,2018,L,FC,VH,4,A,66.1,54.6,34.3,74.6,72.1,37.9,59.3
120,HUMBOLDT-UNIVERSIT?T ZU BERLIN,Germany,2018,XL,FC,HI,5,A,94,73.4,13.6,33.6,55.2,38.4,59.2
121,UNIVERSIDADE DE S?O PAULO (USP),Brazil,2018,XL,FC,VH,4,A,94.8,90.2,31.4,25.7,8.4,4.8,59.1
  122=,HOKKAIDO UNIVERSITY,Japan,2018,L,FC,VH,5,A,68.5,59.5,85,35.1,15.1,14.2,59
  122=,UNIVERSIDAD NACIONAL AUT?NOMA DE M?XICO (UNAM),Mexico,2018,XL,FC,VH,5,A,95.8,89.6,50.9,3.8,11,2.6,59
124,WAGENINGEN UNIVERSITY,Netherlands,2018,L,FO,VH,4,A,45.2,35.3,97.9,56.7,32.8,88.8,58.7
  125=,FREIE UNIVERSIT?T BERLIN,Germany,2018,XL,FC,HI,4,A,88.7,61.4,7.2,48.3,60.2,51.1,58.4
  125=,UNIVERSITY OF GHENT,Belgium,2018,XL,FC,VH,5,A,62.4,47.3,69.4,55.3,49.7,22.9,58.4
127,QUEEN MARY UNIVERSITY OF LONDON (QMUL),United Kingdom,2018,L,FC,VH,5,A,56.2,49.7,61,43.3,98,99.6,58.3
128,KYUSHU UNIVERSITY,Japan,2018,L,FC,VH,5,A,63.6,62,91.1,31.9,16.4,19.9,58.2
129,"UNIVERSITY OF MARYLAND, COLLEGE PARK",United States,2018,XL,FC,VH,5,A,63.8,33.2,55,75.8,26.1,33.1,58.1
130,UNIVERSIT? DE MONTR?AL ,Canada,2018,XL,FC,VH,5,A,67.2,73.5,24,49.9,91.3,79.4,57.7
131,UNIVERSIT? PIERRE ET MARIE CURIE (UPMC),France,2018,L,CO,VH,5,A,63,53.5,34.5,81,23.3,50.7,57.5
132,UNIVERSITY OF SOUTHERN CALIFORNIA,United States,2018,XL,FC,VH,5,B,64.8,55,27.8,70.4,44.6,75.8,57.2
133,CHALMERS UNIVERSITY OF TECHNOLOGY,Sweden,2018,M,CO,VH,5,B,42.1,75.7,60.5,70.3,84.9,44.2,57.1
134,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA (UCSB)",United States,2018,L,CO,VH,5,A,75.7,18.8,9.2,97.5,47.2,18.7,56.9
  135=,LANCASTER UNIVERSITY,United Kingdom,2018,L,FC,HI,4,A,50.2,47.1,46.2,63.2,91.2,98,56.3
  135=,UNIVERSITY OF YORK,United Kingdom,2018,L,FC,VH,4,A,52.2,50.2,58.9,53,90.9,66.2,56.3
  137=,AALTO UNIVERSITY,Finland,2018,L,FO,VH,5,A,46.5,53.5,65.1,63.8,81,41,56
  137=,CARDIFF UNIVERSITY,United Kingdom,2018,L,FC,VH,5,A,57.1,63,56.6,39.5,70.9,79.6,56
  137=,PONTIFICIA UNIVERSIDAD CAT?LICA DE CHILE,Chile,2018,L,FC,HI,5,B,92.4,94.6,30.3,11.4,16.8,5.6,56
140,MCMASTER UNIVERSITY,Canada,2018,L,FC,VH,5,A,51.8,57.2,77.2,35.7,92.8,40.5,55.8
141,RHEINISCH-WESTF?LISCHE TECHNISCHE HOCHSCHULE AACHEN,Germany,2018,XL,FC,VH,5,A,71.3,98.4,20.9,42.1,32.6,58.8,55.6
  142=,UNIVERSITY OF OSLO,Norway,2018,L,FC,VH,5,A,62.8,41.5,51.7,48.9,78.4,42.4,55.5
  142=,UNIVERSITY OF PITTSBURGH,United States,2018,L,FC,VH,5,A,51,27.5,97.7,51.3,24.3,25.2,55.5
144,TECHNISCHE UNIVERSIT?T BERLIN,Germany,2018,L,CO,VH,5,A,64.2,84.9,53.1,27.2,34.6,63.2,55.2
145,HEBREW UNIVERSITY OF JERUSALEM,Israel,2018,L,FC,VH,4,A,55.6,36.4,77,50.4,53.4,10.7,54.7
146,UNIVERSITY OF LAUSANNE,Switzerland,2018,L,CO,VH,5,A,41.9,42.8,91.2,30.9,99.6,79.6,54.5
  147=,EMORY UNIVERSITY,United States,2018,L,FC,VH,5,B,35.5,15.8,97.5,70.5,49,48.3,54.4
  147=,ERASMUS UNIVERSITY ROTTERDAM,Netherlands,2018,L,FO,VH,5,A,46.8,70.3,34.7,74.3,62.1,71.7,54.4
  149=,MICHIGAN STATE UNIVERSITY,United States,2018,XL,FC,VH,5,A,68.6,60.7,16.4,59.5,61.7,47.2,54.3
  149=,UNIVERSITY OF BASEL,Switzerland,2018,L,FC,VH,5,A,40.9,39.1,29.1,94.4,100,84.9,54.3
151,UNIVERSITY OF OTAGO,New Zealand,2018,L,FC,VH,5,A,63.9,49.9,18.9,57.2,100,65.7,54.2
152,UNIVERSITY OF WATERLOO,Canada,2018,XL,CO,VH,4,A,48.8,82.4,8.5,80.9,77.6,80.7,53.7
153,UNIVERSIT? CATHOLIQUE DE LOUVAIN (UCL),Belgium,2018,L,FC,VH,5,B,62.7,63,19.8,54.6,88.7,55.4,53.6
154,UNIVERSIT?T WIEN,Austria,2018,XL,FC,VH,5,A,75.2,51.2,22.9,19.4,97.1,93.8,53.3
155,HANYANG UNIVERSITY,South Korea,2018,L,FC,VH,4,B,53.5,72.6,76.3,29.7,25.3,38.8,53.2
156,UNIVERSITAT DE BARCELONA (UB),Spain,2018,XL,FC,VH,5,A,80,60.7,30.6,33.4,4.7,33.7,52.9
157,ECOLE NORMALE SUP?RIEURE DE LYON ,France,2018,S,CO,VH,5,A,48.9,31.1,99.8,30.1,57,24.6,52.8
  158=,UNIVERSITY OF ABERDEEN,United Kingdom,2018,L,FC,HI,5,A,39.6,45.7,53.7,59,95.5,97.5,52.7
  158=,UNIVERSITY OF EXETER,United Kingdom,2018,L,FC,VH,4,A,47.2,70.6,31.1,58.6,89.8,84.3,52.7
160,UNIVERSITY OF BATH,United Kingdom,2018,L,CO,VH,4,A,45.3,80.9,28.2,56.9,94.5,90.4,52.6
  161=,NATIONAL TSING HUA UNIVERSITY,Taiwan,2018,L,CO,VH,4,A,56.4,50.8,22.4,90.2,24.9,16.7,52.4
  161=,NEWCASTLE UNIVERSITY,United Kingdom,2018,L,FC,VH,4,A,42.6,66.4,56.5,42.9,90.4,83.9,52.4
163,UNIVERSITY OF MINNESOTA,United States,2018,XL,FC,VH,5,A,76.8,34.9,18.6,63.1,6.6,24.6,52.2
  164=,EBERHARD KARLS UNIVERSIT?T T?BINGEN,Germany,2018,L,FC,VH,5,A,55.8,49.8,80.1,20.4,55.2,36.9,52.1
  164=,UNIVERSITY OF BERGEN,Norway,2018,M,FC,VH,4,A,42,20.6,81,59.7,86.4,13,52.1
  164=,"UNIVERSITY OF CALIFORNIA, IRVINE (UCI)",United States,2018,XL,FC,VH,4,A,54,29.4,14,89.2,51.3,84.4,52.1
167,UNIVERSITY OF BERN,Switzerland,2018,M,CO,VH,5,A,38.1,43.2,37.7,88.4,100,40.8,51.9
168,UNIVERSITY COLLEGE DUBLIN (UCD),Ireland,2018,L,FC,VH,5,A,53.4,69.4,28,48.4,95.7,60.2,51.5
169,DARTMOUTH COLLEGE,United States,2018,M,FC,VH,5,B,31.4,49.1,86.3,70.5,4.7,41.5,51.3
170,POLITECNICO DI MILANO,Italy,2018,XL,FO,VH,5,A,63.9,93.4,6.5,53.1,36.9,42.4,50.9
171,UNIVERSIT?T FREIBURG,Germany,2018,L,FC,VH,5,A,61.6,37.8,31.2,53.8,56.2,48.4,50.8
172,INDIAN INSTITUTE OF TECHNOLOGY DELHI (IITD),India,2018,M,CO,VH,4,A,54.9,71.1,15.3,91.2,2,2,50.7
  173=,KING FAHD UNIVERSITY OF PETROLEUM & MINERALS (KFUPM),Saudi Arabia,2018,M,CO,VH,4,A,35.7,40.5,94.9,27.6,100,46.6,50.3
  173=,UNIVERSITY OF LIVERPOOL,United Kingdom,2018,L,FC,VH,5,A,45.4,47.5,53,38.7,82.3,96.5,50.3
  173=,UNIVERSITY OF VIRGINIA,United States,2018,L,FC,VH,5,A,47.7,49.2,60.6,53.3,50.7,17.5,50.3
176,UNIVERSITY OF TECHNOLOGY SYDNEY (UTS),Australia,2018,L,CO,VH,3,A,50.7,87,11.5,45.8,97.2,94.5,50.1
177,CENTRALESUP?LEC,France,2018,S,FO,VH,5,A,24.7,100,79.4,31.8,64.4,90.2,50
178,UNIVERSITY OF FLORIDA,United States,2018,XL,FC,VH,5,B,58.6,37.5,63.1,39.2,18.2,21.7,49.8
  179=,INDIAN INSTITUTE OF TECHNOLOGY BOMBAY (IITB),India,2018,M,CO,VH,4,A,62.3,77.9,32.1,50.8,3.7,2,49.7
  179=,UNIVERSITY OF TWENTE,Netherlands,2018,M,FO,VH,4,A,28.9,28.2,42.7,92.2,88,76.8,49.7
181,GEORG-AUGUST-UNIVERSIT?T G?TTINGEN,Germany,2018,XL,FC,VH,5,A,62.2,32.5,64.7,23.9,43.8,29.6,49.6
  182=,TECHNISCHE UNIVERSIT?T WIEN,Austria,2018,L,FO,VH,5,A,39.8,75.6,6.2,83.7,67.2,91.2,49.5
  182=,UNIVERSIDADE ESTADUAL DE CAMPINAS (UNICAMP),Brazil,2018,L,FC,VH,4,A,76.9,73.4,22.8,30,9.5,5.5,49.5
  182=,UNIVERSITY OF COLORADO AT BOULDER,United States,2018,XL,CO,VH,5,A,47,43.7,65.6,52,36.7,17.7,49.5
  182=,VRIJE UNIVERSITEIT BRUSSEL (VUB),Belgium,2018,M,FC,VH,5,A,34.5,41.3,98.2,23.8,79.4,61.9,49.5
186,UNIVERSITY OF ROCHESTER,United States,2018,M,FC,VH,5,B,32.1,9.9,100,42.6,47.3,90,49.3
187,UNIVERSIDAD AUT?NOMA DE MADRID,Spain,2018,L,FC,VH,3,A,65.7,74.1,43.4,24.7,11.7,24.3,49.2
  188=,UNIVERSIT? DI BOLOGNA (UNIBO),Italy,2018,XL,FC,VH,5,A,81.5,62.9,8.4,36.9,8.7,11.5,49.1
  188=,UNIVERSITY OF READING,United Kingdom,2018,L,CO,VH,5,A,39.4,55.8,41.3,51.6,88.1,92.5,49.1
190,INDIAN INSTITUTE OF SCIENCE BANGALORE,India,2018,S,SP,VH,5,A,38.3,22.3,56.1,100,,2.1,49
191,UNIVERSITY OF CAPE TOWN,South Africa,2018,L,FC,VH,5,A,60.2,55.1,32.9,35.9,59.2,49.2,48.9
  192=,KEIO UNIVERSITY,Japan,2018,XL,FC,VH,5,B,63,80.2,60.7,9.4,11.9,11.3,48.5
  192=,SCUOLA NORMALE SUPERIORE,Italy,2018,S,FO,VH,,,20.8,11.1,91.2,98.3,2.4,18.2,48.5
  192=,SCUOLA SUPERIORE SANT'ANNA PISA,Italy,2018,S,FC,VH,3,,18.8,18.7,86.3,96,2,49.8,48.5
  195=,STOCKHOLM UNIVERSITY,Sweden,2018,L,CO,VH,5,A,65.8,27.9,24.4,49.2,64.3,19.1,48.1
