Rank,Institution Name,Country,Year,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,Overall
801-1000,Aligarh Muslim University,India,2021,,,27.1,,,,
801-1000,Amrita Vishwa Vidyapeetham,India,2021,,,31.1,41.8,,,
801-1000,Ankara ?niversitesi,Turkey,2021,,,,,,,
801-1000,Anna University,India,2021,,,,,,45.2,
801-1000,Athens University of Economics and Business,Greece,2021,,32.5,,,,19.2,
801-1000,Auburn University,United States,2021,,,,,,21.5,
801-1000,Australian Catholic University,Australia,2021,,,,60,49,,
801-1000,Babes-Bolyai University,Romania,2021,,,,,,,
801-1000,Banaras Hindu University,India,2021,,,,,,,
801-1000,Bangladesh University of Engineering and Technology,Bangladesh,2021,,22.2,,,,,
801-1000,Baylor University,United States,2021,,,,,,,
801-1000,Beijing Foreign Studies University,China (Mainland),2021,,,30.2,33.6,32.5,,
801-1000,Beirut Arab University,Lebanon,2021,,,,71.8,39.8,,
801-1000,Belarusian National Technical University (BNTU),Belarus,2021,,26.2,31.7,,,,
801-1000,Bina Nusantara University (BINUS),Indonesia,2021,,,,,,,
801-1000,Binghamton University SUNY,United States,2021,,,,,21.1,24.3,
801-1000,Birmingham City University,United Kingdom,2021,,,,35.5,65.7,,
801-1000,Budapest University of Technology and Economics,Hungary,2021,,18.9,,,18.6,,
801-1000,Charles Sturt University,Australia,2021,,,,,87.5,,
801-1000,Clemson University,United States,2021,,20.1,,,,27.6,
801-1000,COMSATS University Islamabad,Pakistan,2021,,,,,,,
801-1000,Corvinus University of Budapest,Hungary,2021,,18.6,,,33.8,,
801-1000,Cracow University of Technology (Politechnika Krakowska),Poland,2021,,,29.3,,,,
801-1000,Czech University of Life Sciences in Prague,Czech Republic,2021,,,,25.8,56.2,,
801-1000,De La Salle University,Philippines,2021,16.6,26.9,,,,,
801-1000,De Montfort University,United Kingdom,2021,,,,61.6,90.9,,
801-1000,Edinburgh Napier University,United Kingdom,2021,,,,55.5,82.3,,
801-1000,Escuela Polit¨¦cnica Nacional,Ecuador,2021,,,35.6,,,,
801-1000,Fordham University,United States,2021,,,,,29.7,,
801-1000,Gdansk University of Technology,Poland,2021,,,31.9,,,,
801-1000,George Mason University,United States,2021,,,,,17.5,21.5,
801-1000,German Jordanian University,Jordan,2021,,,24.2,58.2,26.2,,
801-1000,Glasgow Caledonian University,United Kingdom,2021,,,,32.8,41.7,,
801-1000,Gulf University for Science and Technology,Kuwait,2021,,,,100,17.9,,
801-1000,Hacettepe University,Turkey,2021,,,,,,,
801-1000,Harbin Engineering University,China (Mainland),2021,,,35.7,,,22.4,
801-1000,Islamic University of Madinah,Saudi Arabia,2021,,,,97,100,,
801-1000,Istanbul University,Turkey,2021,20.6,,,,,,
801-1000,Karaganda State Technical University,Kazakhstan,2021,,,53.8,,,,
801-1000,Kasetsart University,Thailand,2021,23.9,20.3,,,,,
801-1000,Kaunas University of Technology,Lithuania,2021,,,32.2,,,,
801-1000,Kazakh Ablai Khan University of International Relations and World Languages,Kazakhstan,2021,,,35.6,,,,
801-1000,Kent State University,United States,2021,,,,18.7,,34.7,
801-1000,Khon Kaen University,Thailand,2021,,,,,,,
801-1000,King Faisal University,Saudi Arabia,2021,,,,99.6,,,
801-1000,King Mongkut's University of Technology Thonburi,Thailand,2021,,,,,,,
801-1000,Kuwait University,Kuwait,2021,,,,36.7,29.1,,
801-1000,Kyoto Institute of Technology,Japan,2021,,,24.9,,,,
801-1000,Kyushu Institute of Technology,Japan,2021,,,,,,33.5,
801-1000,Lanzhou University,China (Mainland),2021,,,,,,34.9,
801-1000,Liverpool John Moores University,United Kingdom,2021,,,,45.6,33.4,,
801-1000,Lodz University of Technology,Poland,2021,,,34.8,,,,
801-1000,London Metropolitan University,United Kingdom,2021,,,,54.6,99,,
801-1000,Loyola University Chicago,United States,2021,,,26.7,,,,
801-1000,Manchester Metropolitan University (MMU),United Kingdom,2021,,,,39.7,38.2,,
801-1000,Multimedia University (MMU),Malaysia,2021,,,,19.3,23.5,,
801-1000,Nagoya Institute of Technology (NIT),Japan,2021,,,,,,37.2,
801-1000,National Chung Cheng University,"Taiwan,China",2021,,,,,,,
801-1000,Lviv Polytechnic National University,Ukraine,2021,,,48.6,,,,
801-1000,Nicolaus Copernicus University,Poland,2021,,,41.2,,,,
801-1000,Novosibirsk State Technical University,Russia,2021,,,25.2,,53.9,,
801-1000,Ohio University,United States,2021,,,,,,,
801-1000,Universitas Padjadjaran,Indonesia,2021,,,27.5,,,,
801-1000,Perm State National Research University,Russia,2021,,,51.1,,,,
801-1000,Pontificia Universidad Cat¨®lica de Valpara¨ªso,Chile,2021,20.2,27.3,,,,,
801-1000,Pontificia Universidad Cat¨®lica del Ecuador (PUCE),Ecuador,2021,,,,17.9,,,
801-1000,Pontif¨ªcia Universidade Cat¨®lica de S?o Paulo,Brazil,2021,,,34.8,,,,
801-1000,Pozna¨½ University of Technology,Poland,2021,,,25.1,,,,
801-1000,Prince of Songkla University,Thailand,2021,17.9,,,,,,
801-1000,Princess Nourah bint Abdulrahman University,Saudi Arabia,2021,,,,73.2,,,
801-1000,Princess Sumaya University for Technology,Jordan,2021,,,,72.4,29.6,,
801-1000,"Queen Margaret University , Edinburgh",United Kingdom,2021,,,,48.6,87.8,,
801-1000,Rhodes University,South Africa,2021,,,,,41.1,23,
801-1000,Riga Stradins University,Latvia,2021,,,,,78.5,,
801-1000,Ritsumeikan University,Japan,2021,,48.5,,27.2,,,
801-1000,Ryerson University,Canada,2021,,25.2,,,,36.3,
801-1000,Saitama University,Japan,2021,,,,,,23.4,
801-1000,San Diego State University,United States,2021,,,,,,33.6,
801-1000,Shanghai International Studies University,China (Mainland),2021,,,26.9,46,48.9,,
801-1000,Sheffield Hallam University,United Kingdom,2021,,21,,29.4,17.3,,
801-1000,Shinshu University,Japan,2021,,,39.4,,,19.5,
801-1000,Shiraz University,"Iran, Islamic Republic of",2021,,,,,,43.4,
801-1000,Silesian University of Technology,Poland,2021,,,34.3,,,,
801-1000,Slovak University of Technology in Bratislava,Slovakia,2021,,,41.1,,,,
801-1000,Sophia University,Japan,2021,,18.4,,34.3,24.9,,
801-1000,South Ural State University (National Research University),Russia,2021,,,43.4,,21.2,,
801-1000,Szent Istvan University,Hungary,2021,,,40.5,,29.2,,
801-1000,Tallinn University,Estonia,2021,,,,29.2,25.7,,
801-1000,Technical University of Kosice,Slovakia,2021,,,25.3,,27.7,,
801-1000,TU Dortmund University,Germany,2021,,,,21.1,,,
801-1000,Technological University Dublin,Ireland,2021,,,,41,44.4,,
801-1000,Tecnol¨®gico de Costa Rica -TEC,Costa Rica,2021,,35.7,25.3,,,,
801-1000,Texas Tech University,United States,2021,,,,23,,19.8,
801-1000,Robert Gordon University,United Kingdom,2021,,,,56.3,44.9,,
801-1000,Russian Presidential Academy of National Economy and Public Administration,Russia,2021,,,53.2,,,,
801-1000,Tokai University,Japan,2021,,,,,,,
801-1000,Universidad Austral de Chile,Chile,2021,,,,19.2,,,
801-1000,Universidad Aut¨®noma de Chapingo,Mexico,2021,,,59.1,,,,
801-1000,Universidad Aut¨®noma del Estado de M¨¦xico (UAEMex),Mexico,2021,20.2,,,,,,
801-1000,Universidad Aut¨®noma Metropolitana (UAM),Mexico,2021,21.6,,,,,,
801-1000,Universidad Cat¨®lica Andres Bello,Venezuela,2021,18.9,46.8,,,,,
801-1000,Universidad Cat¨®lica del Uruguay (UCU),Uruguay,2021,,,34.1,,,,
801-1000,University of Alicante,Spain,2021,,,27.9,,,,
801-1000,Universidad de la Rep¨²blica (Udelar),Uruguay,2021,18.1,18.5,,,,,
801-1000,Universidad de las Am¨¦ricas Puebla (UDLAP),Mexico,2021,,18.4,28.6,40.3,,,
801-1000,Universidad de los Andes - Chile,Chile,2021,,24.7,,,,,
801-1000,Universidad de los Andes - (ULA) M¨¦rida,Venezuela,2021,,19,,,,,
801-1000,University of Murcia,Spain,2021,,,29.2,,,,
801-1000,Universidad de Oviedo,Spain,2021,,,,,,19.3,
801-1000,Universidad del Valle,Colombia,2021,,22.4,,,,,
801-1000,Universidad Diego Portales (UDP),Chile,2021,,30.6,,,,,
801-1000,Universidad EAFIT,Colombia,2021,,53.9,,,,,
801-1000,Universidad Nacional Costa Rica,Costa Rica,2021,,19.9,,18,,,
801-1000,Universidad Nacional de C¨®rdoba - UNC,Argentina,2021,19,,,,,,
801-1000,Universidad Nacional de Rosario (UNR),Argentina,2021,17.1,,,,,,
801-1000,Universidad Nacional de San Luis,Argentina,2021,,,41.4,,,,
801-1000,Universidad Nacional Mayor de San Marcos,Peru,2021,,33.8,,,,,
801-1000,Universidad Sim¨®n Bol¨ªvar (USB),Venezuela,2021,,32,,,,,
801-1000,Universidad T¨¦cnica Federico Santa Mar¨ªa (USM),Chile,2021,,42,,,,,
801-1000,Universidad Tecnol¨®gica de Panam¨¢ (UTP),Panama,2021,,26.3,24.9,,,,
801-1000,Universidad Tecnol¨®gica Nacional (UTN),Argentina,2021,,30.2,41.8,,,,
801-1000,Universidade Cat¨®lica Portuguesa - UCP,Portugal,2021,,22.5,,,18.1,,
801-1000,Universidade da Coru?a,Spain,2021,,,30.8,,,,
801-1000,Universidade de Bras¨ªlia,Brazil,2021,21,,,,,,
801-1000,Universidade Federal de Santa Catarina,Brazil,2021,17,,,,,,
801-1000,Universidade Federal de S?o Carlos (UFSCar),Brazil,2021,,,,,,18.5,
801-1000,Universidade Federal do Paran¨¢ - UFPR,Brazil,2021,,,,,,,
801-1000,Universidade Federal de Pernambuco (UFPE),Brazil,2021,,,25.2,,,,
801-1000,Catania University,Italy,2021,,,,,,33.8,
801-1000,Universita' degli Studi di Ferrara,Italy,2021,,,,,,49.8,
801-1000,University of Salerno,Italy,2021,,,,,,35.2,
801-1000,Universit¨¤ degli Studi di Udine,Italy,2021,,,,,,29,
801-1000,Universit¨¤ degli studi Roma Tre,Italy,2021,18.5,,,,,,
801-1000,University of Calabria,Italy,2021,,,,,,32.9,
801-1000,Universita' Politecnica delle Marche,Italy,2021,,,,,,42.1,
801-1000,University of Palermo,Italy,2021,,,,,,28.8,
801-1000,Bielefeld University,Germany,2021,,,,24.2,,,
801-1000,Universit?t Potsdam,Germany,2021,,,,,21.6,,
801-1000,Universit¨¦ de Lorraine,France,2021,,,,23.5,40.4,,
801-1000,Universit¨¦ de Nantes,France,2021,,,,18.3,18,,
801-1000,Universit¨¦ de Rennes 1,France,2021,,,,,,,
801-1000,Universit¨¦ de Versailles Saint-Quentin-en-Yvelines (UVSQ),France,2021,,,,25.8,18.6,28.7,
801-1000,Paul Val¨¦ry University Montpellier,France,2021,,,,17.1,82.9,,
801-1000,Universit¨¦ Toulouse 1 Capitole,France,2021,,,,33.7,58,,
801-1000,Universiti Malaysia Sarawak (UNIMAS),Malaysia,2021,,,,36.1,,,
801-1000,Universiti Tunku Abdul Rahman (UTAR),Malaysia,2021,,27.6,,,,,
801-1000,Universiti Malaysia Perlis,Malaysia,2021,,,46.3,,,,
801-1000,The University of Alabama,United States,2021,,22.1,,,,,
801-1000,University of Baghdad,Iraq,2021,,,35.2,,,,
801-1000,University of Bahrain,Bahrain,2021,,,,98.8,29.9,,
801-1000,University of Bari,Italy,2021,,,,,,27.1,
801-1000,University of Brighton,United Kingdom,2021,,,,54.2,54.3,,
801-1000,University of Bucharest,Romania,2021,,,,,,,
801-1000,University of Calcutta,India,2021,,,,,,21.3,
801-1000,University of Central Lancashire,United Kingdom,2021,,,,31.2,47.7,,
801-1000,University of Crete,Greece,2021,,,,,,31.1,
801-1000,University of Dhaka,Bangladesh,2021,,31.5,,,,,
801-1000,University of East London,United Kingdom,2021,,,,78.3,94.5,,
801-1000,University of Engineering & Technology (UET) Lahore,Pakistan,2021,,36.6,,,,,
801-1000,UNIVERSITY OF GDANSK,Poland,2021,,,24.9,,,,
801-1000,University of Hertfordshire,United Kingdom,2021,,,,53.7,86.9,,
801-1000,University of Kufa,Iraq,2021,,,36.8,,,,
801-1000,University of Kwazulu-Natal,South Africa,2021,,,,30.6,,19.4,
801-1000,University of Latvia,Latvia,2021,,,,18.3,,,
801-1000,University of Lincoln,United Kingdom,2021,,,,77.3,,,
801-1000,University of Lodz,Poland,2021,,,32.7,,,,
801-1000,Universiti Malaysia Sabah (UMS),Malaysia,2021,,,,21.6,,,
801-1000,University of Malta,Malta,2021,,,44.7,17.7,,,
801-1000,University of Maribor,Slovenia,2021,,,38.3,,,,
801-1000,University of Miskolc,Hungary,2021,,,34.1,,,,
801-1000,University of Mississippi,United States,2021,,,37.4,,,,
801-1000,University of New England Australia,Australia,2021,,,,,,26.9,
801-1000,University of New Hampshire,United States,2021,,,,,,36.8,
801-1000,University of Pardubice,Czech Republic,2021,,,32.4,,,,
801-1000,University of Parma,Italy,2021,,,,,,40.1,
801-1000,University of Rijeka,Croatia,2021,,,37.6,,,,
801-1000,University of Salford,United Kingdom,2021,,,,36,47,,
801-1000,University of San Diego,United States,2021,,,26.2,,,,
801-1000,University of Santo Tomas,Philippines,2021,,,,29.7,,,
801-1000,University of the Pacific,United States,2021,,,41.8,,,,
801-1000,University of the Punjab,Pakistan,2021,,32.2,,,,,
801-1000,University of the West of England,United Kingdom,2021,,,,42.7,53.4,,
801-1000,University of Wroclaw,Poland,2021,,,,,,,
801-1000,University of Wyoming,United States,2021,,,,,,39.6,
801-1000,University of Zagreb,Croatia,2021,,,32.3,,,,
801-1000,Utah State University,United States,2021,,,,,,32.8,
801-1000,Verona University,Italy,2021,,,,,,26.9,
801-1000,Viet Nam National University Ho Chi Minh City (VNU-HCM),Vietnam,2021,20.4,,,,,,
801-1000,"Vietnam National University, Hanoi",Vietnam,2021,,,,,,,
801-1000,Vytautas Magnus University,Lithuania,2021,,,,27.6,18.7,,
801-1000,Wroclaw University of Science and Technology (WRUST),Poland,2021,,,29.8,,,,
801-1000,Wuhan University of Technology,China (Mainland),2021,,,,,,23.4,
801-1000,Xi'an Jiaotong Liverpool University,China (Mainland),2021,,,,100,,,
801-1000,Yamaguchi University,Japan,2021,,,48.9,,,,
801-1000,Yeungnam University,South Korea,2021,,,,22.2,,27.5,
801-1000,Yokohama National University,Japan,2021,,,24.6,,,,
